ticker,horizon_d,feature_set,model,acc,f1,prec,rec,roc,thr,n_train,n_val,n_test,features_used
GOOGL,1,price,logreg,0.8992443324937027,0.9148936170212766,0.8775510204081632,0.9555555555555556,0.9734108527131782,0.5250000000000001,1916,338,397,12
GOOGL,1,price,rf,0.5012594458438288,0.505,0.5771428571428572,0.4488888888888889,0.5086692506459949,0.30000000000000004,1916,338,397,12
GOOGL,1,price+sent,logreg,0.8992443324937027,0.9148936170212766,0.8775510204081632,0.9555555555555556,0.9734108527131782,0.5250000000000001,1916,338,397,36
GOOGL,1,price+sent,rf,0.47103274559193953,0.4385026737967914,0.5503355704697986,0.36444444444444446,0.494625322997416,0.275,1916,338,397,36
GOOGL,5,price,logreg,0.6095717884130982,0.7176684881602914,0.6137071651090342,0.8640350877192983,0.646683276237932,0.4,1916,338,397,12
GOOGL,5,price,rf,0.44080604534005036,0.3313253012048193,0.5288461538461539,0.2412280701754386,0.4923570019723865,0.225,1916,338,397,12
GOOGL,5,price+sent,logreg,0.6095717884130982,0.7176684881602914,0.6137071651090342,0.8640350877192983,0.646683276237932,0.4,1916,338,397,36
GOOGL,5,price+sent,rf,0.4357682619647355,0.2483221476510067,0.5285714285714286,0.16228070175438597,0.4842598359804838,0.25,1916,338,397,36
GOOGL,10,price,logreg,0.6599496221662469,0.7775947281713345,0.6685552407932012,0.9291338582677166,0.59352458565057,0.37500000000000006,1916,338,397,12
GOOGL,10,price,rf,0.6347607052896725,0.7744945567651633,0.6401028277634961,0.9803149606299213,0.5390397004570233,0.225,1916,338,397,12
GOOGL,10,price+sent,logreg,0.6599496221662469,0.7775947281713345,0.6685552407932012,0.9291338582677166,0.59352458565057,0.37500000000000006,1916,338,397,36
GOOGL,10,price+sent,rf,0.6423173803526449,0.7801857585139319,0.6428571428571429,0.9921259842519685,0.5279307306866362,0.2,1916,338,397,36
MSFT,1,price,logreg,0.7909319899244333,0.8349900596421471,0.7191780821917808,0.995260663507109,0.9596391988992509,0.5750000000000001,1916,338,397,12
MSFT,1,price,rf,0.5314861460957179,0.694078947368421,0.5314861460957179,1.0,0.5012994954899862,0.225,1916,338,397,12
MSFT,1,price+sent,logreg,0.760705289672544,0.8155339805825242,0.6907894736842105,0.995260663507109,0.9561993578963461,0.6250000000000001,1916,338,397,36
MSFT,1,price+sent,rf,0.5314861460957179,0.694078947368421,0.5314861460957179,1.0,0.46565255057840294,0.30000000000000004,1916,338,397,36
MSFT,5,price,logreg,0.6624685138539043,0.7607142857142857,0.6474164133738601,0.922077922077922,0.708548479632817,0.5,1916,338,397,12
MSFT,5,price,rf,0.4181360201511335,0.0,0.0,0.0,0.5661216293746415,0.2,1916,338,397,12
MSFT,5,price+sent,logreg,0.6070528967254408,0.7467532467532467,0.5974025974025974,0.9956709956709957,0.7025765399259375,0.55,1916,338,397,36
MSFT,5,price+sent,rf,0.5818639798488665,0.7356687898089171,0.5818639798488665,1.0,0.5293381317477703,0.2,1916,338,397,36
MSFT,10,price,logreg,0.5869017632241813,0.712280701754386,0.5767045454545454,0.9311926605504587,0.6307211316693148,0.4750000000000001,1916,338,397,12
MSFT,10,price,rf,0.4659949622166247,0.273972602739726,0.5405405405405406,0.1834862385321101,0.48732766131925587,0.2,1916,338,397,12
MSFT,10,price+sent,logreg,0.5591939546599496,0.7126436781609196,0.5549872122762148,0.9954128440366973,0.6067859156373328,0.6250000000000001,1916,338,397,36
MSFT,10,price+sent,rf,0.5415617128463476,0.7016393442622951,0.5459183673469388,0.981651376146789,0.4670314181743632,0.2,1916,338,397,36
PLTR,1,price,logreg,0.4371584699453552,0.01904761904761905,0.3333333333333333,0.00980392156862745,0.486564996368918,0.2,883,155,183,12
PLTR,1,price,rf,0.5573770491803278,0.7157894736842105,0.5573770491803278,1.0,0.4625998547567175,0.2,883,155,183,12
PLTR,1,price+sent,logreg,0.4426229508196721,0.0,0.0,0.0,0.49927378358750907,0.2,883,155,183,36
PLTR,1,price+sent,rf,0.5573770491803278,0.7157894736842105,0.5573770491803278,1.0,0.46223674655047203,0.2,883,155,183,36
PLTR,5,price,logreg,0.366120218579235,0.0,0.0,0.0,0.4629439011837365,0.2,883,155,183,12
PLTR,5,price,rf,0.6065573770491803,0.7534246575342466,0.625,0.9482758620689655,0.5268914050437469,0.225,883,155,183,12
PLTR,5,price+sent,logreg,0.36065573770491804,0.0,0.0,0.0,0.46603190941842515,0.2,883,155,183,36
PLTR,5,price+sent,rf,0.5628415300546448,0.6666666666666666,0.6451612903225806,0.6896551724137931,0.534547092125579,0.2,883,155,183,36
PLTR,10,price,logreg,0.32786885245901637,0.0,0.0,0.0,0.525880758807588,0.2,883,155,183,12
PLTR,10,price,rf,0.6830601092896175,0.8092105263157895,0.6795580110497238,1.0,0.49769647696476965,0.2,883,155,183,12
PLTR,10,price+sent,logreg,0.32786885245901637,0.0,0.0,0.0,0.531029810298103,0.2,883,155,183,36
PLTR,10,price+sent,rf,0.6721311475409836,0.803921568627451,0.6721311475409836,1.0,0.44308943089430897,0.2,883,155,183,36
RHM.DE,1,price,logreg,0.4819277108433735,0.37681159420289856,0.52,0.29545454545454547,0.5141155141155141,0.2,1202,211,249,12
RHM.DE,1,price,rf,0.5301204819277109,0.6929133858267716,0.5301204819277109,1.0,0.5220797720797722,0.2,1202,211,249,12
RHM.DE,1,price+sent,logreg,0.4859437751004016,0.49606299212598426,0.5163934426229508,0.4772727272727273,0.5111370111370112,0.2,1202,211,249,36
RHM.DE,1,price+sent,rf,0.5301204819277109,0.6929133858267716,0.5301204819277109,1.0,0.511072261072261,0.2,1202,211,249,36
RHM.DE,5,price,logreg,0.41365461847389556,0.039473684210526314,1.0,0.020134228187919462,0.5834228187919464,0.2,1202,211,249,12
RHM.DE,5,price,rf,0.5983935742971888,0.7487437185929648,0.5983935742971888,1.0,0.5346644295302013,0.2,1202,211,249,12
RHM.DE,5,price+sent,logreg,0.42168674698795183,0.06493506493506493,1.0,0.03355704697986577,0.5832885906040268,0.2,1202,211,249,36
RHM.DE,5,price+sent,rf,0.5983935742971888,0.7487437185929648,0.5983935742971888,1.0,0.5577181208053691,0.2,1202,211,249,36
RHM.DE,10,price,logreg,0.37751004016064255,0.1340782122905028,0.631578947368421,0.075,0.5653792134831461,0.275,1202,211,249,12
RHM.DE,10,price,rf,0.642570281124498,0.78239608801956,0.642570281124498,1.0,0.46587078651685393,0.2,1202,211,249,12
RHM.DE,10,price+sent,logreg,0.41365461847389556,0.33636363636363636,0.6166666666666667,0.23125,0.561376404494382,0.275,1202,211,249,36
RHM.DE,10,price+sent,rf,0.6265060240963856,0.7692307692307693,0.6378600823045267,0.96875,0.4397120786516854,0.42500000000000004,1202,211,249,36
TSLA,1,price,logreg,0.9168765743073047,0.9219858156028369,0.8666666666666667,0.9848484848484849,0.9871833917060049,0.5,1916,338,397,12
TSLA,1,price,rf,0.6473551637279596,0.7046413502109705,0.605072463768116,0.8434343434343434,0.7472463326734683,0.45000000000000007,1916,338,397,12
TSLA,1,price+sent,logreg,0.9168765743073047,0.9219858156028369,0.8666666666666667,0.9848484848484849,0.9871833917060049,0.5,1916,338,397,36
TSLA,1,price+sent,rf,0.6322418136020151,0.7020408163265306,0.589041095890411,0.8686868686868687,0.7199634536317954,0.45000000000000007,1916,338,397,36
TSLA,5,price,logreg,0.6372795969773299,0.6210526315789474,0.6310160427807486,0.6113989637305699,0.6876968403941888,0.5,1916,338,397,12
TSLA,5,price,rf,0.5390428211586902,0.6514285714285715,0.5150602409638554,0.8860103626943006,0.558213959158793,0.25,1916,338,397,12
TSLA,5,price+sent,logreg,0.6372795969773299,0.6210526315789474,0.6310160427807486,0.6113989637305699,0.6876968403941888,0.5,1916,338,397,36
TSLA,5,price+sent,rf,0.5440806045340051,0.6499032882011605,0.5185185185185185,0.8704663212435233,0.5558264756679874,0.275,1916,338,397,36
TSLA,10,price,logreg,0.5994962216624685,0.6258823529411764,0.6394230769230769,0.6129032258064516,0.6286482334869432,0.5,1916,338,397,12
TSLA,10,price,rf,0.5843828715365239,0.6972477064220184,0.5792682926829268,0.8755760368663594,0.5635304659498208,0.25,1916,338,397,12
TSLA,10,price+sent,logreg,0.5994962216624685,0.6258823529411764,0.6394230769230769,0.6129032258064516,0.6286482334869432,0.5,1916,338,397,36
TSLA,10,price+sent,rf,0.5869017632241813,0.7071428571428572,0.577259475218659,0.9124423963133641,0.5654889912954429,0.225,1916,338,397,36
